ABOO AVL Rojinegro
72236140 1593379 1951399
17893378 2117189 1916250
89168687 2320489 1914029
76192589 2087370 2056319
13449688 2180520 2147920
14835898 54191531 1560530
15838008 1775410 1809500
18044208 1518850 1720860
8454259 1468469 1686339
56283561 1631900 1558519
7499949 1411020 1601180
12899238 1971580 1412170
72617109 1888850 1402200
14171538 2185460 1518230
67217170 1463330 1612669
26857336 1900870 1733210
14231638 3447539 2031920
77604678 6245950 1812529
21494997 2235309 2153099
52132843 2129829 2816190
18092607 1923900 1659339
54105663 1820970 1659259
54426952 9454569 4815820
38183964 3440230 4608419
58716121 2039240 2516800
43128113 6493049 2335210
62569351 2151299 3393070
36760614 2615280 2348820
63495810 4069060 9348378
39458445 1850979 2122980
11657848 1720800 29863916
69815720 2278720 2115200
126371572 2216729 1727139
69604780 1470211 1442089
35064694 1654930 1666820
59440931 7298699 1990009
124317592 4960249 7941479
23611207 1595640 1676250
11967718 1801790 1679850
57623041 2138480 2047700
57419181 2039730 20194517
61505931 2114759 10212129
17819747 1940660 2002680
12449848 2103869 2100710
57158341 2236629 2464950
26956886 2172650 2119260
69586660 2396479 2408589
21032097 2566310 2594039
62847761 2273750 2292450
26753197 2213849 3514859
83321327 2342730 2080729
14447399 2568919 2129859
9476229 1755320 1978810
58568421 2205110 2477390
18074957 2268349 2150639
63758731 2280739 2389090
23533146 2283809 2565400
11588128 1509890 2021340
22696956 2398370 2197220
17328687 2168379 1915300
80535898 2108080 3316700
17924547 2426190 2202130
75184949 2204010 2417190
12484988 1674619 1759980
51701562 2325959 2327520
31099325 2456190 2352020
76007788 2591950 2277519
19420518 2113470 2048360
71475800 2000409 1795000
16474817 1858280 1676910
67401510 2148370 9486889
47721403 26704816 1375810
21479907 2129859 2143850
19988847 2120430 2172370
68786279 1774940 2488190
41151454 1381250 2197800
70842420 2162540 2136600
12887828 1935849 1822460
66872810 1727120 1551250
14695588 1800610 1829439
64149020 4598509 8107558
75485749 1815750 1825780
32962485 1734279 3460300
58674872 2018110 4737329
37785054 1568580 2029360
50368463 1902140 2018920
23292446 2083420 2046820
15534349 53794542 1562420
40791944 1969870 9694479
18949708 2040690 2000870
31929935 2149080 2026980
12175569 2234519 2088340
